date,name,country,value,last_value
2020-04-30,科摩罗,Earth,1,0
2020-05-01,科摩罗,Earth,1,1
2020-05-02,科摩罗,Earth,1,1
2020-05-03,科摩罗,Earth,3,1
2020-05-04,科摩罗,Earth,3,3
2020-05-05,科摩罗,Earth,4,3
2020-05-06,科摩罗,Earth,4,4
2020-05-07,科摩罗,Earth,8,4
2020-05-08,科摩罗,Earth,8,8
2020-05-09,科摩罗,Earth,8,8
2020-05-10,科摩罗,Earth,11,8
2020-05-11,科摩罗,Earth,11,11
2020-05-12,科摩罗,Earth,11,11
2020-05-13,科摩罗,Earth,11,11
2020-05-14,科摩罗,Earth,11,11
2020-05-15,科摩罗,Earth,11,11
2020-05-16,科摩罗,Earth,11,11
2020-05-17,科摩罗,Earth,11,11
2020-05-18,科摩罗,Earth,11,11
2020-05-19,科摩罗,Earth,11,11
2020-05-20,科摩罗,Earth,34,11
2020-05-21,科摩罗,Earth,34,34
2020-05-22,科摩罗,Earth,34,34
2020-05-23,科摩罗,Earth,34,34
2020-05-24,科摩罗,Earth,34,34
2020-05-25,科摩罗,Earth,43,34
2020-05-26,科摩罗,Earth,43,43
2020-05-27,科摩罗,Earth,43,43
2020-05-28,科摩罗,Earth,43,43
2020-05-29,科摩罗,Earth,43,43
2020-05-30,科摩罗,Earth,43,43
2020-05-31,科摩罗,Earth,43,43
2020-06-01,科摩罗,Earth,62,43
2020-06-02,科摩罗,Earth,62,62
2020-06-03,科摩罗,Earth,62,62
2020-06-04,科摩罗,Earth,62,62
2020-06-05,科摩罗,Earth,62,62
2020-06-06,科摩罗,Earth,62,62
2020-06-07,科摩罗,Earth,97,62
2020-06-08,科摩罗,Earth,97,97
2020-06-09,科摩罗,Earth,97,97
2020-06-10,科摩罗,Earth,97,97
2020-06-11,科摩罗,Earth,162,97
2020-06-12,科摩罗,Earth,162,162
2020-06-13,科摩罗,Earth,163,162
2020-06-14,科摩罗,Earth,176,163
2020-06-15,科摩罗,Earth,176,176
2020-06-16,科摩罗,Earth,176,176
2020-06-17,科摩罗,Earth,176,176
2020-06-18,科摩罗,Earth,197,176
2020-06-19,科摩罗,Earth,210,197
2020-06-20,科摩罗,Earth,210,210
2020-06-21,科摩罗,Earth,247,210
2020-06-22,科摩罗,Earth,247,247
2020-06-23,科摩罗,Earth,247,247
2020-06-24,科摩罗,Earth,265,247
2020-06-25,科摩罗,Earth,265,265
2020-06-26,科摩罗,Earth,272,265
2020-06-27,科摩罗,Earth,272,272
2020-06-28,科摩罗,Earth,272,272
2020-06-29,科摩罗,Earth,293,272
2020-06-30,科摩罗,Earth,293,293
2020-07-01,科摩罗,Earth,303,293
2020-07-02,科摩罗,Earth,303,303
2020-07-03,科摩罗,Earth,303,303
2020-07-04,科摩罗,Earth,309,303
2020-07-05,科摩罗,Earth,309,309
2020-07-06,科摩罗,Earth,311,309
2020-07-07,科摩罗,Earth,311,311
2020-07-08,科摩罗,Earth,313,311
2020-07-09,科摩罗,Earth,313,313
2020-07-10,科摩罗,Earth,313,313
